label,filters,value
"26 Feb 2024 - 3 Mar 2024","","335"
"4 - 10 Mar 2024","","0"
"11 - 17 Mar 2024","","0"
"18 - 24 Mar 2024","","0"
"25 - 31 Mar 2024","","0"
